Pin,Cpu Pin name,SOM pin name,Label,GPIO,MMDC,UART,ELCDIF,EPDC,EIM,uSDHC,ENET,ECSPI,SAI,CSI,FTM,KPP,I2C,SIM,CCM,USB,SRC,GPT,ARM_PLATFORM,FLEXCAN,NAND,QSPI,PWM,WDOG,PCIE,XTALOSC,SNVS,SJC,ADC,SDMA,MIPI_CSI2,MIPI_DSI,MQS,Other,Routing for BOARD_InitPins
U3,UART3_TXD,,X1B20,"GPIO4_IO05(GPIO4,gpio_io,05)",,"UART3_TX_DATA(UART3,uart_tx_data)",,,,"SD2_LCTL(uSDHC2,sd_lctl)","ENET1_1588_EVENT0_OUT(ENET1,enet_1588_event0_out)","ECSPI1_MOSI(ECSPI1,ecspi_mosi)","SAI3_TX_BCLK(SAI3,sai_tx_bclk)",,,,,,,"USB_OTG1_PWR(USB,usb_otg1_pwr)",,,,,,,,,,,,,,,,,,,"UART3_TX_DATA(UART3,uart_tx_data)"
AG16,PCIE_RX_N,,X1B22,,,,,,,,,,,,,,,,,,,,,,,,,,"PCIE_RX_N(PCIE,pcie_rx_n)",,,,,,,,,,"PCIE_RX_N(PCIE,pcie_rx_n)"
AH16,PCIE_RX_P,,X1B23,,,,,,,,,,,,,,,,,,,,,,,,,,"PCIE_RX_P(PCIE,pcie_rx_p)",,,,,,,,,,"PCIE_RX_P(PCIE,pcie_rx_p)"
AG15,PCIE_TX_P,,X1B25,,,,,,,,,,,,,,,,,,,,,,,,,,"PCIE_TX_P(PCIE,pcie_tx_p)",,,,,,,,,,"PCIE_TX_P(PCIE,pcie_tx_p)"
AG14,PCIE_TX_N,,X1B26,,,,,,,,,,,,,,,,,,,,,,,,,,"PCIE_TX_N(PCIE,pcie_tx_n)",,,,,,,,,,"PCIE_TX_N(PCIE,pcie_tx_n)"
AH11,PCIE_REFCLKOUT_P,,X1B28,,,,,,,,,,,,,,,,,,,,,,,,,,"PCIE_REFCLKOUT_P(PCIE,pcie_refclkout_p)",,,,,,,,,,"PCIE_REFCLKOUT_P(PCIE,pcie_refclkout_p)"
AG11,PCIE_REFCLKOUT_N,,X1B29,,,,,,,,,,,,,,,,,,,,,,,,,,"PCIE_REFCLKOUT_N(PCIE,pcie_refclkout_n)",,,,,,,,,,"PCIE_REFCLKOUT_N(PCIE,pcie_refclkout_n)"
D3,SAI1_MCLK,,X1B31,"GPIO6_IO18(GPIO6,gpio_io,18)",,,,,,,,,"SAI1_MCLK(SAI1,sai_mclk)/SAI2_MCLK(SAI2,sai_mclk)",,"FLEXTIMER2_PHB(FTM2,flextimer_phb)",,,,"CCM_PMIC_READY(CCM,ccm_pmic_ready)",,,,,,"NAND_WP_B(NAND,nand_wp_b)",,,,,,,,,,,,,,"NAND_WP_B(NAND,nand_wp_b)"
E1,SD2_CD_B,,X1B32,"GPIO5_IO09(GPIO5,gpio_io,09)",,,,,,"SD2_CD_B(uSDHC2,sd_cd_b)","ENET1_MDIO(ENET1,enet_mdio)/ENET2_MDIO(ENET2,enet_mdio)","ECSPI3_SS2(ECSPI3,ecspi_ss,2)",,,"FLEXTIMER1_PHB(FTM1,flextimer_phb)",,,,,,,,,,,,,,,,,,,"SDMA_EXT_EVENT0(SDMA,sdma_ext_event,0)",,,,,"SD2_CD_B(uSDHC2,sd_cd_b)"
D1,SD2_WP,,X1B33,"GPIO5_IO10(GPIO5,gpio_io,10)",,,,,,"SD2_WP(uSDHC2,sd_wp)","ENET1_MDC(ENET1,enet_mdc)/ENET2_MDC(ENET2,enet_mdc)","ECSPI3_SS3(ECSPI3,ecspi_ss,3)",,,,,,,,"USB_OTG1_ID(USB,usb_otg1_id)",,,,,,,,,,,,,,"SDMA_EXT_EVENT1(SDMA,sdma_ext_event,1)",,,,,"SD2_WP(uSDHC2,sd_wp)"
J3,SD2_RESET_B,,X1B34,"GPIO5_IO11(GPIO5,gpio_io,11)",,,,,,"SD2_RESET_B(uSDHC2,sd_reset_b)/SD2_RESET(uSDHC2,sd_reset)",,"ECSPI3_RDY(ECSPI3,ecspi_rdy)","SAI2_MCLK(SAI2,sai_mclk)",,,,,,,"USB_OTG2_ID(USB,usb_otg2_id)",,,,,,,,,,,,,,,,,,,"SD2_RESET_B(uSDHC2,sd_reset_b)"
G1,SD2_CLK,,X1B36,"GPIO5_IO12(GPIO5,gpio_io,12)",,,,,,"SD2_CLK(uSDHC2,sd_clk)",,,"SAI2_RX_SYNC(SAI2,sai_rx_sync)",,,,,,,,,"GPT4_CLK(GPT4,gpt_clk)",,,,,,,,,,,,,,,"MQS_RIGHT(MQS,mqs_right)",,"SD2_CLK(uSDHC2,sd_clk)"
G2,SD2_CMD,,X1B37,"GPIO5_IO13(GPIO5,gpio_io,13)",,,,,,"SD2_CMD(uSDHC2,sd_cmd)",,,"SAI2_RX_BCLK(SAI2,sai_rx_bclk)",,,,,"SIM2_PORT1_TRXD(SIM2,sim_port1_trxd)",,,,"GPT4_CAPTURE1(GPT4,gpt_capture,1)",,,,,,,,,,,,,,,"MQS_LEFT(MQS,mqs_left)",,"SD2_CMD(uSDHC2,sd_cmd)"
F2,SD2_DATA0,,X1B38,"GPIO5_IO14(GPIO5,gpio_io,14)",,"UART4_RX_DATA(UART4,uart_rx_data)",,,,"SD2_DATA0(uSDHC2,sd_data,0)",,,"SAI2_RX_DATA(SAI2,sai_rx_data)",,,,,"SIM2_PORT1_CLK(SIM2,sim_port1_clk)",,,,"GPT4_CAPTURE2(GPT4,gpt_capture,2)",,,,,,,,,,,,,,,,,"SD2_DATA0(uSDHC2,sd_data,0)"
E2,SD2_DATA1,,X1B39,"GPIO5_IO15(GPIO5,gpio_io,15)",,"UART4_TX_DATA(UART4,uart_tx_data)",,,,"SD2_DATA1(uSDHC2,sd_data,1)",,,"SAI2_TX_BCLK(SAI2,sai_tx_bclk)",,,,,"SIM2_PORT1_RST_B(SIM2,sim_port1_rst_b)",,,,"GPT4_COMPARE1(GPT4,gpt_compare,1)",,,,,,,,,,,,,,,,,"SD2_DATA1(uSDHC2,sd_data,1)"
H3,SD2_DATA2,,X1B40,"GPIO5_IO16(GPIO5,gpio_io,16)",,"UART4_CTS_B(UART4,uart_cts_b)",,,,"SD2_DATA2(uSDHC2,sd_data,2)",,,"SAI2_TX_SYNC(SAI2,sai_tx_sync)",,,,,"SIM2_PORT1_SVEN(SIM2,sim_port1_sven)",,,,"GPT4_COMPARE2(GPT4,gpt_compare,2)",,,,,,,,,,,,,,,,,"SD2_DATA2(uSDHC2,sd_data,2)"
G3,SD2_DATA3,,X1B41,"GPIO5_IO17(GPIO5,gpio_io,17)",,"UART4_RTS_B(UART4,uart_rts_b)",,,,"SD2_DATA3(uSDHC2,sd_data,3)",,,"SAI2_TX_DATA(SAI2,sai_tx_data)",,,,,"SIM2_PORT1_PD(SIM2,sim_port1_pd)",,,,"GPT4_COMPARE3(GPT4,gpt_compare,3)",,,,,,,,,,,,,,,,,"SD2_DATA3(uSDHC2,sd_data,3)"
K2,ECSPI1_SCLK,,X1B43,"GPIO4_IO16(GPIO4,gpio_io,16)",,"UART6_RX_DATA(UART6,uart_rx_data)",,"EPDC_PWR_COM(EPDC,epdc_pwr_com)",,"SD2_DATA4(uSDHC2,sd_data,4)",,"ECSPI1_SCLK(ECSPI1,ecspi_sclk)",,"CSI_DATA02(CSI,csi_data,02)",,,,,,,,,,,,,,,,,,,,,,,,,"ECSPI1_SCLK(ECSPI1,ecspi_sclk)"
M3,ECSPI1_MISO,,X1B44,"GPIO4_IO18(GPIO4,gpio_io,18)",,"UART6_RTS_B(UART6,uart_rts_b)",,"EPDC_PWR_IRQ(EPDC,epdc_pwr_irq)",,"SD2_DATA6(uSDHC2,sd_data,6)",,"ECSPI1_MISO(ECSPI1,ecspi_miso)",,"CSI_DATA04(CSI,csi_data,04)",,,,,,,,,,,,,,,,,,,,,,,,,"ECSPI1_MISO(ECSPI1,ecspi_miso)"
L3,ECSPI1_MOSI,,X1B45,"GPIO4_IO17(GPIO4,gpio_io,17)",,"UART6_TX_DATA(UART6,uart_tx_data)",,"EPDC_PWR_STAT(EPDC,epdc_pwr_stat)",,"SD2_DATA5(uSDHC2,sd_data,5)",,"ECSPI1_MOSI(ECSPI1,ecspi_mosi)",,"CSI_DATA03(CSI,csi_data,03)",,,,,,,,,,,,,,,,,,,,,,,,,"ECSPI1_MOSI(ECSPI1,ecspi_mosi)"
N3,ECSPI1_SS0,,X1B46,"GPIO4_IO19(GPIO4,gpio_io,19)",,"UART6_CTS_B(UART6,uart_cts_b)",,"EPDC_PWR_CTRL3(EPDC,epdc_pwr_ctrl,3)",,"SD2_DATA7(uSDHC2,sd_data,7)",,"ECSPI1_SS0(ECSPI1,ecspi_ss,0)",,"CSI_DATA05(CSI,csi_data,05)",,,,,,,,,,,,,,,,,,,,,,,,,"ECSPI1_SS0(ECSPI1,ecspi_ss,0)"
V4,GPIO1_IO00,,X1B47,"GPIO1_IO00(GPIO1,gpio_io,00)",,,,,,,,,,,,,,,,,,,,,,,"PWM4_OUT(PWM4,pwm_out)","WDOG1_ANY(WDOG1,wdog_any)/WDOG1_B(WDOG1,wdog_b)/WDOG1_RESET_B_DEB(WDOG1,wdog_reset_b_deb)",,,,,,,,,,,"PWM4_OUT(PWM4,pwm_out)"
N1,ECSPI2_SCLK,,X1B49,"GPIO4_IO20(GPIO4,gpio_io,20)",,"UART7_RX_DATA(UART7,uart_rx_data)","LCD_DATA13(ELCDIF,lcd_data,13)","EPDC_PWR_CTRL0(EPDC,epdc_pwr_ctrl,0)",,"SD1_DATA4(uSDHC1,sd_data,4)",,"ECSPI2_SCLK(ECSPI2,ecspi_sclk)",,"CSI_DATA06(CSI,csi_data,06)",,,,,,,,,,,,,,,,,,,,,,,,,"UART7_RX_DATA(UART7,uart_rx_data)"
P2,ECSPI2_MISO,,X1B50,"GPIO4_IO22(GPIO4,gpio_io,22)",,"UART7_RTS_B(UART7,uart_rts_b)","LCD_DATA15(ELCDIF,lcd_data,15)","EPDC_PWR_CTRL2(EPDC,epdc_pwr_ctrl,2)",,"SD1_DATA6(uSDHC1,sd_data,6)",,"ECSPI2_MISO(ECSPI2,ecspi_miso)",,"CSI_DATA08(CSI,csi_data,08)",,,,,,,,,,,,,,,,,,,,,,,,,"UART7_RTS_B(UART7,uart_rts_b)"
N2,ECSPI2_MOSI,,X1B51,"GPIO4_IO21(GPIO4,gpio_io,21)",,"UART7_TX_DATA(UART7,uart_tx_data)","LCD_DATA14(ELCDIF,lcd_data,14)","EPDC_PWR_CTRL1(EPDC,epdc_pwr_ctrl,1)",,"SD1_DATA5(uSDHC1,sd_data,5)",,"ECSPI2_MOSI(ECSPI2,ecspi_mosi)",,"CSI_DATA07(CSI,csi_data,07)",,,,,,,,,,,,,,,,,,,,,,,,,"UART7_TX_DATA(UART7,uart_tx_data)"
R2,ECSPI2_SS0,,X1B52,"GPIO4_IO23(GPIO4,gpio_io,23)",,"UART7_CTS_B(UART7,uart_cts_b)","LCD_RS(ELCDIF,lcd_rs)","EPDC_PWR_WAKE(EPDC,epdc_pwr_wake)",,"SD1_DATA7(uSDHC1,sd_data,7)",,"ECSPI2_SS0(ECSPI2,ecspi_ss,0)",,"CSI_DATA09(CSI,csi_data,09)",,,,,,,,,,,,,,,,,,,,,,,,,"UART7_CTS_B(UART7,uart_cts_b)"
Y2,BOOT_MODE1,,X1B53,,,,,,,,,,,,,,,,,,"SRC_BOOT_MODE1(SRC,src_boot_mode1)",,,,,,,,,,,,,,,,,,"SRC_BOOT_MODE1(SRC,src_boot_mode1)"
Y1,BOOT_MODE0,,X1B54,,,,,,,,,,,,,,,,,,"SRC_BOOT_MODE0(SRC,src_boot_mode0)",,,,,,,,,,,,,,,,,,"SRC_BOOT_MODE0(SRC,src_boot_mode0)"
H26,LCD1_DATA21,,X2A2,"GPIO3_IO26(GPIO3,gpio_io,26)",,,"LCD_DATA21(ELCDIF,lcd_data,21)",,"EIM_ADDR24(EIM,eim_addr,24)",,"ENET1_1588_EVENT3_OUT(ENET1,enet_1588_event3_out)",,,"CSI_DATA12(CSI,csi_data,12)","FLEXTIMER2_CH5(FTM2,flextimer_ch,5)",,"I2C3_SDA(I2C3,i2c_sda)",,,,,,,,,,,,,,,,,,,,,,"LCD_DATA21(ELCDIF,lcd_data,21)"
G27,LCD1_DATA14,,X2A3,"GPIO3_IO19(GPIO3,gpio_io,19)",,,"LCD_DATA14(ELCDIF,lcd_data,14)",,"EIM_DATA14(EIM,eim_data,14)",,,,,"CSI_DATA03(CSI,csi_data,03)",,,,,,,"SRC_BOOT_CFG14(SRC,src_boot_cfg,14)",,"ARM_PLATFORM_TRACE14(ARM_PLATFORM,arm_platform_trace,14)",,,,,,,,,,,,,,,,"LCD_DATA14(ELCDIF,lcd_data,14)"
G28,LCD1_ENABLE,,X2A4,"GPIO3_IO01(GPIO3,gpio_io,01)",,"UART2_TX_DATA(UART2,uart_tx_data)","LCD_ENABLE(ELCDIF,lcd_enable)",,,,"ENET1_1588_EVENT3_IN(ENET1,enet_1588_event3_in)","ECSPI4_MOSI(ECSPI4,ecspi_mosi)",,"CSI_DATA17(CSI,csi_data,17)",,,,,,,,,,,,,,,,,,,,,,,,,"LCD_ENABLE(ELCDIF,lcd_enable)"
F27,LCD1_DATA12,,X2A5,"GPIO3_IO17(GPIO3,gpio_io,17)",,,"LCD_DATA12(ELCDIF,lcd_data,12)",,"EIM_DATA12(EIM,eim_data,12)",,,,,"CSI_DATA05(CSI,csi_data,05)",,,,,,,"SRC_BOOT_CFG12(SRC,src_boot_cfg,12)",,"ARM_PLATFORM_TRACE12(ARM_PLATFORM,arm_platform_trace,12)",,,,,,,,,,,,,,,,"LCD_DATA12(ELCDIF,lcd_data,12)"
E27,LCD1_DATA11,,X2A7,"GPIO3_IO16(GPIO3,gpio_io,16)",,,"LCD_DATA11(ELCDIF,lcd_data,11)",,"EIM_DATA11(EIM,eim_data,11)",,,,,"CSI_DATA06(CSI,csi_data,06)",,,,,,,"SRC_BOOT_CFG11(SRC,src_boot_cfg,11)",,"ARM_PLATFORM_TRACE11(ARM_PLATFORM,arm_platform_trace,11)",,,,,,,,,,,,,,,,"LCD_DATA11(ELCDIF,lcd_data,11)"
E28,LCD1_DATA13,,X2A8,"GPIO3_IO18(GPIO3,gpio_io,18)",,,"LCD_DATA13(ELCDIF,lcd_data,13)",,"EIM_DATA13(EIM,eim_data,13)",,,,,"CSI_DATA04(CSI,csi_data,04)",,,,,,,"SRC_BOOT_CFG13(SRC,src_boot_cfg,13)",,"ARM_PLATFORM_TRACE13(ARM_PLATFORM,arm_platform_trace,13)",,,,,,,,,,,,,,,,"LCD_DATA13(ELCDIF,lcd_data,13)"
D28,LCD1_DATA19,,X2A9,"GPIO3_IO24(GPIO3,gpio_io,24)",,,"LCD_DATA19(ELCDIF,lcd_data,19)",,"EIM_CS3(EIM,eim_cs,3)",,,,,"CSI_DATA14(CSI,csi_data,14)","FLEXTIMER1_CH7(FTM1,flextimer_ch,7)",,,,,,"SRC_BOOT_CFG19(SRC,src_boot_cfg,19)",,,,,,,,,,,,,,,,,,"LCD_DATA19(ELCDIF,lcd_data,19)"
D27,LCD1_DATA18,,X2A10,"GPIO3_IO23(GPIO3,gpio_io,23)",,,"LCD_DATA18(ELCDIF,lcd_data,18)",,"EIM_CS2(EIM,eim_cs,2)",,,,,"CSI_DATA15(CSI,csi_data,15)","FLEXTIMER1_CH6(FTM1,flextimer_ch,6)",,,,,,"SRC_BOOT_CFG18(SRC,src_boot_cfg,18)",,"ARM_PLATFORM_EVENTO(ARM_PLATFORM,arm_platform_evento)",,,,,,,,,,,,,,,,"LCD_DATA18(ELCDIF,lcd_data,18)"
C27,LCD1_DATA16,,X2A12,"GPIO3_IO21(GPIO3,gpio_io,21)",,,"LCD_DATA16(ELCDIF,lcd_data,16)",,"EIM_CRE(EIM,eim_cre)",,,,,"CSI_DATA01(CSI,csi_data,01)","FLEXTIMER1_CH4(FTM1,flextimer_ch,4)",,,,,,"SRC_BOOT_CFG16(SRC,src_boot_cfg,16)",,"ARM_PLATFORM_TRACE_CLK(ARM_PLATFORM,arm_platform_trace_clk)",,,,,,,,,,,,,,,,"LCD_DATA16(ELCDIF,lcd_data,16)"
G26,LCD1_DATA20,,X2A13,"GPIO3_IO25(GPIO3,gpio_io,25)",,,"LCD_DATA20(ELCDIF,lcd_data,20)",,"EIM_ADDR23(EIM,eim_addr,23)",,"ENET1_1588_EVENT2_OUT(ENET1,enet_1588_event2_out)",,,"CSI_DATA13(CSI,csi_data,13)","FLEXTIMER2_CH4(FTM2,flextimer_ch,4)",,"I2C3_SCL(I2C3,i2c_scl)",,,,,,,,,,,,,,,,,,,,,,"LCD_DATA20(ELCDIF,lcd_data,20)"
B28,LCD1_DATA15,,X2A14,"GPIO3_IO20(GPIO3,gpio_io,20)",,,"LCD_DATA15(ELCDIF,lcd_data,15)",,"EIM_DATA15(EIM,eim_data,15)",,,,,"CSI_DATA02(CSI,csi_data,02)",,,,,,,"SRC_BOOT_CFG15(SRC,src_boot_cfg,15)",,"ARM_PLATFORM_TRACE15(ARM_PLATFORM,arm_platform_trace,15)",,,,,,,,,,,,,,,,"LCD_DATA15(ELCDIF,lcd_data,15)"
A27,LCD1_DATA10,,X2A15,"GPIO3_IO15(GPIO3,gpio_io,15)",,,"LCD_DATA10(ELCDIF,lcd_data,10)",,"EIM_DATA10(EIM,eim_data,10)",,,,,"CSI_DATA07(CSI,csi_data,07)",,,,,,,"SRC_BOOT_CFG10(SRC,src_boot_cfg,10)",,"ARM_PLATFORM_TRACE10(ARM_PLATFORM,arm_platform_trace,10)",,,,,,,,,,,,,,,,"LCD_DATA10(ELCDIF,lcd_data,10)"
F25,LCD1_HSYNC,,X2A17,"GPIO3_IO02(GPIO3,gpio_io,02)",,"UART2_RTS_B(UART2,uart_rts_b)","LCD_HSYNC(ELCDIF,lcd_hsync)",,,,"ENET2_1588_EVENT2_IN(ENET2,enet_1588_event2_in)","ECSPI4_SCLK(ECSPI4,ecspi_sclk)",,"CSI_DATA18(CSI,csi_data,18)",,,,,,,,,,,,,,,,,,,,,,,,,"LCD_HSYNC(ELCDIF,lcd_hsync)"
F24,LCD1_VSYNC,,X2A18,"GPIO3_IO03(GPIO3,gpio_io,03)",,"UART2_CTS_B(UART2,uart_cts_b)","LCD_VSYNC(ELCDIF,lcd_vsync)",,,,"ENET2_1588_EVENT3_IN(ENET2,enet_1588_event3_in)","ECSPI4_SS0(ECSPI4,ecspi_ss,0)",,"CSI_DATA19(CSI,csi_data,19)",,,,,,,,,,,,,,,,,,,,,,,,,"LCD_VSYNC(ELCDIF,lcd_vsync)"
D26,LCD1_DATA17,,X2A19,"GPIO3_IO22(GPIO3,gpio_io,22)",,,"LCD_DATA17(ELCDIF,lcd_data,17)",,"EIM_ACLK_FREERUN(EIM,eim_aclk_freerun)",,,,,"CSI_DATA00(CSI,csi_data,00)","FLEXTIMER1_CH5(FTM1,flextimer_ch,5)",,,,,,"SRC_BOOT_CFG17(SRC,src_boot_cfg,17)",,"ARM_PLATFORM_TRACE_CTL(ARM_PLATFORM,arm_platform_trace_ctl)",,,,,,,,,,,,,,,,"LCD_DATA17(ELCDIF,lcd_data,17)"
D25,LCD1_DATA23,,X2A20,"GPIO3_IO28(GPIO3,gpio_io,28)",,,"LCD_DATA23(ELCDIF,lcd_data,23)",,"EIM_ADDR26(EIM,eim_addr,26)",,"ENET2_1588_EVENT3_OUT(ENET2,enet_1588_event3_out)",,,"CSI_DATA10(CSI,csi_data,10)","FLEXTIMER2_CH7(FTM2,flextimer_ch,7)",,"I2C4_SDA(I2C4,i2c_sda)",,,,,,,,,,,,,,,,,,,,,,"LCD_DATA23(ELCDIF,lcd_data,23)"
F23,LCD1_DATA01,,X2A21,"GPIO3_IO06(GPIO3,gpio_io,06)",,,"LCD_DATA01(ELCDIF,lcd_data,01)",,"EIM_DATA01(EIM,eim_data,01)",,,,,"CSI_DATA21(CSI,csi_data,21)",,,,,,,"SRC_BOOT_CFG01(SRC,src_boot_cfg,01)","GPT1_COMPARE3(GPT1,gpt_compare,3)","ARM_PLATFORM_TRACE01(ARM_PLATFORM,arm_platform_trace,01)",,,,,,,,,,,,,,,,"LCD_DATA01(ELCDIF,lcd_data,01)"
B27,LCD1_DATA22,,X2A22,"GPIO3_IO27(GPIO3,gpio_io,27)",,,"LCD_DATA22(ELCDIF,lcd_data,22)",,"EIM_ADDR25(EIM,eim_addr,25)",,"ENET2_1588_EVENT2_OUT(ENET2,enet_1588_event2_out)",,,"CSI_DATA11(CSI,csi_data,11)","FLEXTIMER2_CH6(FTM2,flextimer_ch,6)",,"I2C4_SCL(I2C4,i2c_scl)",,,,,,,,,,,,,,,,,,,,,,"LCD_DATA22(ELCDIF,lcd_data,22)"
E23,LCD1_DATA02,,X2A24,"GPIO3_IO07(GPIO3,gpio_io,07)",,,"LCD_DATA02(ELCDIF,lcd_data,02)",,"EIM_DATA02(EIM,eim_data,02)",,,,,"CSI_DATA22(CSI,csi_data,22)",,,,,,,"SRC_BOOT_CFG02(SRC,src_boot_cfg,02)","GPT1_CLK(GPT1,gpt_clk)","ARM_PLATFORM_TRACE02(ARM_PLATFORM,arm_platform_trace,02)",,,,,,,,,,,,,,,,"LCD_DATA02(ELCDIF,lcd_data,02)"
D23,LCD1_DATA05,,X2A25,"GPIO3_IO10(GPIO3,gpio_io,10)",,,"LCD_DATA05(ELCDIF,lcd_data,05)",,"EIM_DATA05(EIM,eim_data,05)",,,,,"CSI_HSYNC(CSI,csi_hsync)",,,,,,,"SRC_BOOT_CFG05(SRC,src_boot_cfg,05)",,"ARM_PLATFORM_TRACE05(ARM_PLATFORM,arm_platform_trace,05)",,,,,,,,,,,,,,,,"LCD_DATA05(ELCDIF,lcd_data,05)"
D22,LCD1_DATA04,,X2A26,"GPIO3_IO09(GPIO3,gpio_io,09)",,,"LCD_DATA04(ELCDIF,lcd_data,04)",,"EIM_DATA04(EIM,eim_data,04)",,,,,"CSI_VSYNC(CSI,csi_vsync)",,,,,,,"SRC_BOOT_CFG04(SRC,src_boot_cfg,04)","GPT1_CAPTURE2(GPT1,gpt_capture,2)","ARM_PLATFORM_TRACE04(ARM_PLATFORM,arm_platform_trace,04)",,,,,,,,,,,,,,,,"LCD_DATA04(ELCDIF,lcd_data,04)"
E22,LCD1_DATA03,,X2A27,"GPIO3_IO08(GPIO3,gpio_io,08)",,,"LCD_DATA03(ELCDIF,lcd_data,03)",,"EIM_DATA03(EIM,eim_data,03)",,,,,"CSI_DATA23(CSI,csi_data,23)",,,,,,,"SRC_BOOT_CFG03(SRC,src_boot_cfg,03)","GPT1_CAPTURE1(GPT1,gpt_capture,1)","ARM_PLATFORM_TRACE03(ARM_PLATFORM,arm_platform_trace,03)",,,,,,,,,,,,,,,,"LCD_DATA03(ELCDIF,lcd_data,03)"
F22,LCD1_DATA00,,X2A29,"GPIO3_IO05(GPIO3,gpio_io,05)",,,"LCD_DATA00(ELCDIF,lcd_data,00)",,"EIM_DATA00(EIM,eim_data,00)",,,,,"CSI_DATA20(CSI,csi_data,20)",,,,,,,"SRC_BOOT_CFG00(SRC,src_boot_cfg,00)","GPT1_COMPARE2(GPT1,gpt_compare,2)","ARM_PLATFORM_TRACE00(ARM_PLATFORM,arm_platform_trace,00)",,,,,,,,,,,,,,,,"LCD_DATA00(ELCDIF,lcd_data,00)"
E20,LCD1_RESET,,X2A30,"GPIO3_IO04(GPIO3,gpio_io,04)",,,"LCD_RS(ELCDIF,lcd_rs)",,"EIM_DTACK_B(EIM,eim_dtack_b)",,,,,"CSI_FIELD(CSI,csi_field)",,,,,,,,"GPT1_COMPARE1(GPT1,gpt_compare,1)","ARM_PLATFORM_EVENTI(ARM_PLATFORM,arm_platform_eventi)",,,,,,,,,,,,,,,,"LCD_RS(ELCDIF,lcd_rs)"
D20,LCD1_CLK,,X2A31,"GPIO3_IO00(GPIO3,gpio_io,00)",,"UART2_RX_DATA(UART2,uart_rx_data)","LCD_CLK(ELCDIF,lcd_clk)",,,,"ENET1_1588_EVENT2_IN(ENET1,enet_1588_event2_in)","ECSPI4_MISO(ECSPI4,ecspi_miso)",,"CSI_DATA16(CSI,csi_data,16)",,,,,,,,,,,,,,,,,,,,,,,,,"LCD_CLK(ELCDIF,lcd_clk)"
F20,LCD1_DATA08,,X2A32,"GPIO3_IO13(GPIO3,gpio_io,13)",,,"LCD_DATA08(ELCDIF,lcd_data,08)",,"EIM_DATA08(EIM,eim_data,08)",,,,,"CSI_DATA09(CSI,csi_data,09)",,,,,,,"SRC_BOOT_CFG08(SRC,src_boot_cfg,08)",,"ARM_PLATFORM_TRACE08(ARM_PLATFORM,arm_platform_trace,08)",,,,,,,,,,,,,,,,"LCD_DATA08(ELCDIF,lcd_data,08)"
G20,LCD1_DATA09,,X2A34,"GPIO3_IO14(GPIO3,gpio_io,14)",,,"LCD_DATA09(ELCDIF,lcd_data,09)",,"EIM_DATA09(EIM,eim_data,09)",,,,,"CSI_DATA08(CSI,csi_data,08)",,,,,,,"SRC_BOOT_CFG09(SRC,src_boot_cfg,09)",,"ARM_PLATFORM_TRACE09(ARM_PLATFORM,arm_platform_trace,09)",,,,,,,,,,,,,,,,"LCD_DATA09(ELCDIF,lcd_data,09)"
E18,LCD1_DATA06,,X2A35,"GPIO3_IO11(GPIO3,gpio_io,11)",,,"LCD_DATA06(ELCDIF,lcd_data,06)",,"EIM_DATA06(EIM,eim_data,06)",,,,,"CSI_PIXCLK(CSI,csi_pixclk)",,,,,,,"SRC_BOOT_CFG06(SRC,src_boot_cfg,06)",,"ARM_PLATFORM_TRACE06(ARM_PLATFORM,arm_platform_trace,06)",,,,,,,,,,,,,,,,"LCD_DATA06(ELCDIF,lcd_data,06)"
D18,LCD1_DATA07,,X2A36,"GPIO3_IO12(GPIO3,gpio_io,12)",,,"LCD_DATA07(ELCDIF,lcd_data,07)",,"EIM_DATA07(EIM,eim_data,07)",,,,,"CSI_MCLK(CSI,csi_mclk)",,,,,,,"SRC_BOOT_CFG07(SRC,src_boot_cfg,07)",,"ARM_PLATFORM_TRACE07(ARM_PLATFORM,arm_platform_trace,07)",,,,,,,,,,,,,,,,"LCD_DATA07(ELCDIF,lcd_data,07)"
Y7,GPIO1_IO02,,X2A37,"GPIO1_IO02(GPIO1,gpio_io,02)",,,,,,,,,"SAI2_MCLK(SAI2,sai_mclk)",,,,,,"CCM_ENET_REF_CLK1(CCM,ccm_enet_ref_clk,1)/CCM_CLKO1(CCM,ccm_clko,1)","USB_OTG1_ID(USB,usb_otg1_id)",,,,,,,"PWM2_OUT(PWM2,pwm_out)",,,"REF_CLK_32K(XTALOSC,ref_clk_32k)",,,,,,,,,"PWM2_OUT(PWM2,pwm_out)"
G24,EPDC1_SDCLK,,X2A39,"GPIO2_IO16(GPIO2,gpio_io,16)",,,"LCD_CLK(ELCDIF,lcd_clk)/LCD_DATA20(ELCDIF,lcd_data,20)","EPDC_SDCLK_P(EPDC,epdc_sdclk_p)","EIM_AD10(EIM,eim_ad,10)",,"RGMII2_RD0(ENET2,rgmii_rd,0)",,,,,"KEY_ROW4(KPP,key_row,4)",,"SIM2_PORT2_SVEN(SIM2,sim_port2_sven)",,,,,,,,,,,,,,,,,,,,,"RGMII2_RD0(ENET2,rgmii_rd,0)"
