SOM Pin,Name,Used,Pad Name,CPU Pin,Mode 0,Mode 1,Mode 2,Mode 3,Mode 4,Mode 5,Mode 6,Mode 7
X3.B54,X_MMC0_CMD,,mmc0_cmd,G18,mmc0_cmd,gpmc_a25_mux1,uart3_rtsn_mux0,uart2_txd_mux2,dcan1_rx_mux2,pr1_pru0_pru_r30[13],pr1_pru0_pru_r31[13],gpio2[31]
X3.B55,X_MMC0_D0,,mmc0_dat0,G16,mmc0_dat0,gpmc_a23_mux1,uart5_rtsn_mux0,uart3_txd_mux2,uart1_rin_mux1,pr1_pru0_pru_r30[11],pr1_pru0_pru_r31[11],gpio2[29]
X3.B56,X_MMC0_D1,,mmc0_dat1,G15,mmc0_dat1,gpmc_a22_mux1,uart5_ctsn_mux0,uart3_rxd_mux2,uart1_dtrn_mux1,pr1_pru0_pru_r30[10],pr1_pru0_pru_r31[10],gpio2[28]
X3.B58,X_MMC0_D2,,mmc0_dat2,F18,mmc0_dat2,gpmc_a21_mux1,uart4_rtsn_mux0,timer6_mux0,uart1_dsrn_mux1,pr1_pru0_pru_r30[9],pr1_pru0_pru_r31[9],gpio2[27]
X3.B59,X_MMC0_D3,,mmc0_dat3,F17,mmc0_dat3,gpmc_a20_mux1,uart4_ctsn_mux0,timer5_mux0,uart1_dcdn_mux1,pr1_pru0_pru_r30[8],pr1_pru0_pru_r31[8],gpio2[26]
X3.B60,X_UART2_TX,,gmii1_rxclk,L18,gmii1_rxclk,uart2_txd_mux0,rgmii1_rclk,mmc0_dat6,mmc1_dat1_mux1,uart1_dsrn_mux0,mcasp0_fsx_mux2,gpio3[10]
,,,ddr_a0,F3,ddr_a0,,,,,,,
,,,ddr_a1,H1,ddr_a1,,,,,,,
,,,ddr_a10,F4,ddr_a10,,,,,,,
,,,ddr_a11,F2,ddr_a11,,,,,,,
,,,ddr_a12,E3,ddr_a12,,,,,,,
,,,ddr_a13,H3,ddr_a13,,,,,,,
,,,ddr_a14,H4,ddr_a14,,,,,,,
,,,ddr_a15,D3,ddr_a15,,,,,,,
,,,ddr_a2,E4,ddr_a2,,,,,,,
,,,ddr_a3,C3,ddr_a3,,,,,,,
,,,ddr_a4,C2,ddr_a4,,,,,,,
,,,ddr_a5,B1,ddr_a5,,,,,,,
,,,ddr_a6,D5,ddr_a6,,,,,,,
,,,ddr_a7,E2,ddr_a7,,,,,,,
,,,ddr_a8,D4,ddr_a8,,,,,,,
,,,ddr_a9,C1,ddr_a9,,,,,,,
,,,ddr_ba0,C4,ddr_ba0,,,,,,,
,,,ddr_ba1,E1,ddr_ba1,,,,,,,
,,,ddr_ba2,B3,ddr_ba2,,,,,,,
,,,ddr_casn,F1,ddr_casn,,,,,,,
,,,ddr_ck,D2,ddr_ck,,,,,,,
,,,ddr_cke,G3,ddr_cke,,,,,,,
,,,ddr_csn0,H2,ddr_csn0,,,,,,,
,,,ddr_d0,M3,ddr_d0,,,,,,,
,,,ddr_d1,M4,ddr_d1,,,,,,,
,,,ddr_d10,K2,ddr_d10,,,,,,,
,,,ddr_d11,K3,ddr_d11,,,,,,,
,,,ddr_d12,K4,ddr_d12,,,,,,,
,,,ddr_d13,L3,ddr_d13,,,,,,,
,,,ddr_d14,L4,ddr_d14,,,,,,,
,,,ddr_d15,M1,ddr_d15,,,,,,,
,,,ddr_d2,N1,ddr_d2,,,,,,,
,,,ddr_d3,N2,ddr_d3,,,,,,,
,,,ddr_d4,N3,ddr_d4,,,,,,,
,,,ddr_d5,N4,ddr_d5,,,,,,,
,,,ddr_d6,P3,ddr_d6,,,,,,,
,,,ddr_d7,P4,ddr_d7,,,,,,,
,,,ddr_d8,J1,ddr_d8,,,,,,,
,,,ddr_d9,K1,ddr_d9,,,,,,,
,,,ddr_dqm0,M2,ddr_dqm0,,,,,,,
,,,ddr_dqm1,J2,ddr_dqm1,,,,,,,
,,,ddr_dqs0,P1,ddr_dqs0,,,,,,,
,,,ddr_dqs1,L1,ddr_dqs1,,,,,,,
,,,ddr_dqsn0,P2,ddr_dqsn0,,,,,,,
,,,ddr_dqsn1,L2,ddr_dqsn1,,,,,,,
,,,ddr_nck,D1,ddr_nck,,,,,,,
,,,ddr_odt,G1,ddr_odt,,,,,,,
,,,ddr_rasn,G4,ddr_rasn,,,,,,,
,,,ddr_resetn,G2,ddr_resetn,,,,,,,
,,,ddr_vref,J4,ddr_vref,,,,,,,
,,,ddr_vtp,J3,ddr_vtp,,,,,,,
,,,ddr_wen,B2,ddr_wen,,,,,,,
,,,ENZ_KALDO_1P8V,B4,ENZ_KALDO_1P8V,,,,,,,
,,,OSC0_IN,V10,OSC0_IN,,,,,,,
,,,OSC0_OUT,U11,OSC0_OUT,,,,,,,
,,,OSC1_IN,A6,OSC1_IN,,,,,,,
,,,OSC1_OUT,A4,OSC1_OUT,,,,,,,
,,,PMIC_POWER_EN,C6,PMIC_POWER_EN,,,,,,,
,,,testout,A3,testout,,,,,,,
,,,VREFN,A9,VREFN,,,,,,,
,,,VREFP,B9,VREFP,,,,,,,
