#,Peripheral,Signal,Route to,Label,Identifier,Power group,Direction,Software Input On Field,Hysteresis Enable Field,Pull Up / Down Config. Field,Pull / Keep Select Field,Pull / Keep Enable Field,Open Drain Enable Field,Speed Field,Drive Strength Field,Slew Rate Field,DDR Select Field,DDR / CMOS Input Mode Field,On Die Termination Field,do_trim Field,do_trim_padn Field
T10,SRC,"src_boot_mode, 0",BOOT_MODE0,phyCORE X1 pin 104,n/a,VDD_SNVS_IN (3.3V),Input,0b0: Disabled,0b1: Enabled,0b00: 100K Ohm Pull Down,0b1: Pull,0b1: Enabled,0b0: Disabled,n/a,0b100: R0/4,0b0: Slow,n/a,n/a,n/a,n/a,n/a
U10,SRC,"src_boot_mode, 1",BOOT_MODE1,phyCORE X1 pin 103,n/a,VDD_SNVS_IN (3.3V),Input,0b0: Disabled,0b1: Enabled,0b00: 100K Ohm Pull Down,0b1: Pull,0b1: Enabled,0b0: Disabled,n/a,0b100: R0/4,0b0: Slow,n/a,n/a,n/a,n/a,n/a
K16,UART1,uart_rx,UART1_RX_DATA,phyCORE X1 pin 105,n/a,NVCC_UART (3.3V),Input,0b0: Disabled,0b0: Disabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,0b10: Medium (100 MHz),0b110: R0/6,0b0: Slow,n/a,n/a,n/a,n/a,n/a
K15,GPIO1,"gpio_io, 18",UART1_CTS_B,phyCORE X1 pin 106,n/a,NVCC_UART (3.3V),Input/Output,0b0: Disabled,0b0: Disabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,0b10: Medium (100 MHz),0b110: R0/6,0b0: Slow,n/a,n/a,n/a,n/a,n/a
K14,UART1,uart_tx,UART1_TX_DATA,phyCORE X1 pin 107,n/a,NVCC_UART (3.3V),Output,0b0: Disabled,0b0: Disabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,0b10: Medium (100 MHz),0b110: R0/6,0b0: Slow,n/a,n/a,n/a,n/a,n/a
J14,uSDHC1,usdhc_cd_b,UART1_RTS_B,phyCORE X1 pin 108,n/a,NVCC_UART (3.3V),Input,0b0: Disabled,0b0: Disabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,0b10: Medium (100 MHz),0b110: R0/6,0b0: Slow,n/a,n/a,n/a,n/a,n/a
J16,ECSPI3,ecspi_sclk,UART2_RX_DATA,phyCORE X1 pin 109,n/a,NVCC_UART (3.3V),Input/Output,0b0: Disabled,0b0: Disabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,0b10: Medium (100 MHz),0b110: R0/6,0b0: Slow,n/a,n/a,n/a,n/a,n/a
J15,ECSPI3,ecspi_mosi,UART2_CTS_B,phyCORE X1 pin 110,n/a,NVCC_UART (3.3V),Input/Output,0b0: Disabled,0b0: Disabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,0b10: Medium (100 MHz),0b110: R0/6,0b0: Slow,n/a,n/a,n/a,n/a,n/a
J17,ECSPI3,"ecspi_ss, 0",UART2_TX_DATA,phyCORE X1 pin 111,n/a,NVCC_UART (3.3V),Output,0b0: Disabled,0b0: Disabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,0b10: Medium (100 MHz),0b110: R0/6,0b0: Slow,n/a,n/a,n/a,n/a,n/a
H14,ECSPI3,ecspi_miso,UART2_RTS_B,phyCORE X1 pin 112,n/a,NVCC_UART (3.3V),Input/Output,0b0: Disabled,0b0: Disabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,0b10: Medium (100 MHz),0b110: R0/6,0b0: Slow,n/a,n/a,n/a,n/a,n/a
G14,FLEXCAN1,can_rx,UART3_RTS_B,phyCORE X1 pin 113,n/a,NVCC_UART (3.3V),Input,0b0: Disabled,0b0: Disabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,0b10: Medium (100 MHz),0b110: R0/6,0b0: Slow,n/a,n/a,n/a,n/a,n/a
H15,FLEXCAN1,can_tx,UART3_CTS_B,phyCORE X1 pin 114,n/a,NVCC_UART (3.3V),Output,0b0: Disabled,0b0: Disabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,0b10: Medium (100 MHz),0b110: R0/6,0b0: Slow,n/a,n/a,n/a,n/a,n/a
B5,GPIO4,"gpio_io, 14",NAND_CE1_B,,n/a,NVCC_NAND (3.3V),Input/Output,0b0: Disabled,0b0: Disabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,0b10: Medium (100 MHz),0b110: R0/6,0b0: Slow,n/a,n/a,n/a,n/a,n/a
P15,SJC,sjc_mod,JTAG_MOD,phyCORE X1 pin 81,n/a,NVCC_GPIO (3.3V),Input,0b0: Disabled,0b0: Disabled,0b10: 100K Ohm Pull Up,0b1: Pull,0b1: Enabled,0b0: Disabled,n/a,0b100: R0/4,0b0: Slow,n/a,n/a,n/a,n/a,n/a
C5,NAND,rawnand_ce0_b,NAND_CE0_B,,n/a,NVCC_NAND (3.3V),Output,0b0: Disabled,0b0: Disabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,0b10: Medium (100 MHz),0b110: R0/6,0b0: Slow,n/a,n/a,n/a,n/a,n/a
B4,NAND,rawnand_ale,NAND_ALE,,n/a,NVCC_NAND (3.3V),Output,0b0: Disabled,0b0: Disabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,0b10: Medium (100 MHz),0b110: R0/6,0b0: Slow,n/a,n/a,n/a,n/a,n/a
A4,NAND,rawnand_cle,NAND_CLE,,n/a,NVCC_NAND (3.3V),Output,0b0: Disabled,0b0: Disabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,0b10: Medium (100 MHz),0b110: R0/6,0b0: Slow,n/a,n/a,n/a,n/a,n/a
D8,NAND,rawnand_re_b,NAND_RE_B,,n/a,NVCC_NAND (3.3V),Output,0b0: Disabled,0b0: Disabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,0b10: Medium (100 MHz),0b110: R0/6,0b0: Slow,n/a,n/a,n/a,n/a,n/a
C8,NAND,rawnand_we_b,NAND_WE_B,,n/a,NVCC_NAND (3.3V),Output,0b0: Disabled,0b0: Disabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,0b10: Medium (100 MHz),0b110: R0/6,0b0: Slow,n/a,n/a,n/a,n/a,n/a
D5,NAND,rawnand_wp_b,NAND_WP_B,,n/a,NVCC_NAND (3.3V),Output,0b0: Disabled,0b0: Disabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,0b10: Medium (100 MHz),0b110: R0/6,0b0: Slow,n/a,n/a,n/a,n/a,n/a
A3,NAND,rawnand_ready_b,NAND_READY_B,,n/a,NVCC_NAND (3.3V),Input/Output,0b0: Disabled,0b0: Disabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,0b10: Medium (100 MHz),0b110: R0/6,0b0: Slow,n/a,n/a,n/a,n/a,n/a
D7,NAND,"rawnand_data, 00",NAND_DATA00,,n/a,NVCC_NAND (3.3V),Output,0b0: Disabled,0b0: Disabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,0b10: Medium (100 MHz),0b110: R0/6,0b0: Slow,n/a,n/a,n/a,n/a,n/a
B7,NAND,"rawnand_data, 01",NAND_DATA01,,n/a,NVCC_NAND (3.3V),Output,0b0: Disabled,0b0: Disabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,0b10: Medium (100 MHz),0b110: R0/6,0b0: Slow,n/a,n/a,n/a,n/a,n/a
A7,NAND,"rawnand_data, 02",NAND_DATA02,,n/a,NVCC_NAND (3.3V),Output,0b0: Disabled,0b0: Disabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,0b10: Medium (100 MHz),0b110: R0/6,0b0: Slow,n/a,n/a,n/a,n/a,n/a
D6,NAND,"rawnand_data, 03",NAND_DATA03,,n/a,NVCC_NAND (3.3V),Output,0b0: Disabled,0b0: Disabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,0b10: Medium (100 MHz),0b110: R0/6,0b0: Slow,n/a,n/a,n/a,n/a,n/a
C6,NAND,"rawnand_data, 04",NAND_DATA04,,n/a,NVCC_NAND (3.3V),Output,0b0: Disabled,0b0: Disabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,0b10: Medium (100 MHz),0b110: R0/6,0b0: Slow,n/a,n/a,n/a,n/a,n/a
B6,NAND,"rawnand_data, 05",NAND_DATA05,,n/a,NVCC_NAND (3.3V),Output,0b0: Disabled,0b0: Disabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,0b10: Medium (100 MHz),0b110: R0/6,0b0: Slow,n/a,n/a,n/a,n/a,n/a
A6,NAND,"rawnand_data, 06",NAND_DATA06,,n/a,NVCC_NAND (3.3V),Output,0b0: Disabled,0b0: Disabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,0b10: Medium (100 MHz),0b110: R0/6,0b0: Slow,n/a,n/a,n/a,n/a,n/a
A5,NAND,"rawnand_data, 07",NAND_DATA07,,n/a,NVCC_NAND (3.3V),Output,0b0: Disabled,0b0: Disabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,0b10: Medium (100 MHz),0b110: R0/6,0b0: Slow,n/a,n/a,n/a,n/a,n/a
L14,GPIO1,"gpio_io, 2",GPIO1_IO02,,n/a,NVCC_GPIO (3.3V),Input/Output,0b0: Disabled,0b0: Disabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,0b10: Medium (100 MHz),0b110: R0/6,0b0: Slow,n/a,n/a,n/a,n/a,n/a
P9,GPIO5,"gpio_io, 4",SNVS_TAMPER4,,n/a,VDD_SNVS_IN (3.3V),Input/Output,n/a,0b1: Enabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,n/a,0b100: R0/4,0b0: Slow,n/a,n/a,n/a,n/a,n/a
N11,GPIO5,"gpio_io, 6",SNVS_TAMPER6,,n/a,VDD_SNVS_IN (3.3V),Input/Output,n/a,0b1: Enabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,n/a,0b100: R0/4,0b0: Slow,n/a,n/a,n/a,n/a,n/a
N10,GPIO5,"gpio_io, 7",SNVS_TAMPER7,,n/a,VDD_SNVS_IN (3.3V),Input/Output,n/a,0b1: Enabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,n/a,0b100: R0/4,0b0: Slow,n/a,n/a,n/a,n/a,n/a
P10,GPIO5,"gpio_io, 3",SNVS_TAMPER3,phyCORE X1 pin 85,n/a,VDD_SNVS_IN (3.3V),Input/Output,n/a,0b1: Enabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,n/a,0b100: R0/4,0b0: Slow,n/a,n/a,n/a,n/a,n/a
P11,GPIO5,"gpio_io, 2",SNVS_TAMPER2,phyCORE X1 pin 86,n/a,VDD_SNVS_IN (3.3V),Input/Output,n/a,0b1: Enabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,n/a,0b100: R0/4,0b0: Slow,n/a,n/a,n/a,n/a,n/a
N9,GPIO5,"gpio_io, 8",SNVS_TAMPER8,,n/a,VDD_SNVS_IN (3.3V),Input/Output,n/a,0b1: Enabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,n/a,0b100: R0/4,0b0: Slow,n/a,n/a,n/a,n/a,n/a
T16,XTALOSC,xtali,XTALI,,n/a,NVCC_PLL (1.1V),Input,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
T17,XTALOSC,xtalo,XTALO,,n/a,NVCC_PLL (1.1V),Output,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
L5,MMDC,"mmdc_addr, 0",DRAM_ADDR00,,n/a,NVCC_DRAM (1.4V),Output,n/a,0b0: Disabled,n/a,0b1: Pull,0b1: Enabled,n/a,n/a,0b110: R0/6,n/a,0b10: LPDDR2,0b0: CMOS,0b000: Disabled,n/a,n/a
H2,MMDC,"mmdc_addr, 1",DRAM_ADDR01,,n/a,NVCC_DRAM (1.4V),Output,n/a,0b0: Disabled,n/a,0b1: Pull,0b1: Enabled,n/a,n/a,0b110: R0/6,n/a,0b10: LPDDR2,0b0: CMOS,0b000: Disabled,n/a,n/a
K1,MMDC,"mmdc_addr, 2",DRAM_ADDR02,,n/a,NVCC_DRAM (1.4V),Output,n/a,0b0: Disabled,n/a,0b1: Pull,0b1: Enabled,n/a,n/a,0b110: R0/6,n/a,0b10: LPDDR2,0b0: CMOS,0b000: Disabled,n/a,n/a
M2,MMDC,"mmdc_addr, 3",DRAM_ADDR03,,n/a,NVCC_DRAM (1.4V),Output,n/a,0b0: Disabled,n/a,0b1: Pull,0b1: Enabled,n/a,n/a,0b110: R0/6,n/a,0b10: LPDDR2,0b0: CMOS,0b000: Disabled,n/a,n/a
K4,MMDC,"mmdc_addr, 4",DRAM_ADDR04,,n/a,NVCC_DRAM (1.4V),Output,n/a,0b0: Disabled,n/a,0b1: Pull,0b1: Enabled,n/a,n/a,0b110: R0/6,n/a,0b10: LPDDR2,0b0: CMOS,0b000: Disabled,n/a,n/a
L1,MMDC,"mmdc_addr, 5",DRAM_ADDR05,,n/a,NVCC_DRAM (1.4V),Output,n/a,0b0: Disabled,n/a,0b1: Pull,0b1: Enabled,n/a,n/a,0b110: R0/6,n/a,0b10: LPDDR2,0b0: CMOS,0b000: Disabled,n/a,n/a
G2,MMDC,"mmdc_addr, 6",DRAM_ADDR06,,n/a,NVCC_DRAM (1.4V),Output,n/a,0b0: Disabled,n/a,0b1: Pull,0b1: Enabled,n/a,n/a,0b110: R0/6,n/a,0b10: LPDDR2,0b0: CMOS,0b000: Disabled,n/a,n/a
H4,MMDC,"mmdc_addr, 7",DRAM_ADDR07,,n/a,NVCC_DRAM (1.4V),Output,n/a,0b0: Disabled,n/a,0b1: Pull,0b1: Enabled,n/a,n/a,0b110: R0/6,n/a,0b10: LPDDR2,0b0: CMOS,0b000: Disabled,n/a,n/a
J4,MMDC,"mmdc_addr, 8",DRAM_ADDR08,,n/a,NVCC_DRAM (1.4V),Output,n/a,0b0: Disabled,n/a,0b1: Pull,0b1: Enabled,n/a,n/a,0b110: R0/6,n/a,0b10: LPDDR2,0b0: CMOS,0b000: Disabled,n/a,n/a
L2,MMDC,"mmdc_addr, 9",DRAM_ADDR09,,n/a,NVCC_DRAM (1.4V),Output,n/a,0b0: Disabled,n/a,0b1: Pull,0b1: Enabled,n/a,n/a,0b110: R0/6,n/a,0b10: LPDDR2,0b0: CMOS,0b000: Disabled,n/a,n/a
M4,MMDC,"mmdc_addr, 10",DRAM_ADDR10,,n/a,NVCC_DRAM (1.4V),Output,n/a,0b0: Disabled,n/a,0b1: Pull,0b1: Enabled,n/a,n/a,0b110: R0/6,n/a,0b10: LPDDR2,0b0: CMOS,0b000: Disabled,0b00: min delay,n/a
K3,MMDC,"mmdc_addr, 11",DRAM_ADDR11,,n/a,NVCC_DRAM (1.4V),Output,n/a,0b0: Disabled,n/a,0b1: Pull,0b1: Enabled,n/a,n/a,0b110: R0/6,n/a,0b10: LPDDR2,0b0: CMOS,0b000: Disabled,0b00: min delay,n/a
L4,MMDC,"mmdc_addr, 12",DRAM_ADDR12,,n/a,NVCC_DRAM (1.4V),Output,n/a,0b0: Disabled,n/a,0b1: Pull,0b1: Enabled,n/a,n/a,0b110: R0/6,n/a,0b10: LPDDR2,0b0: CMOS,0b000: Disabled,0b00: min delay,n/a
H3,MMDC,"mmdc_addr, 13",DRAM_ADDR13,,n/a,NVCC_DRAM (1.4V),Output,n/a,0b0: Disabled,n/a,0b1: Pull,0b1: Enabled,n/a,n/a,0b110: R0/6,n/a,0b10: LPDDR2,0b0: CMOS,0b000: Disabled,0b00: min delay,n/a
G1,MMDC,"mmdc_addr, 14",DRAM_ADDR14,,n/a,NVCC_DRAM (1.4V),Output,n/a,0b0: Disabled,n/a,0b1: Pull,0b1: Enabled,n/a,n/a,0b110: R0/6,n/a,0b10: LPDDR2,0b0: CMOS,0b000: Disabled,0b00: min delay,n/a
K5,MMDC,"mmdc_addr, 15",DRAM_ADDR15,,n/a,NVCC_DRAM (1.4V),Output,n/a,0b0: Disabled,n/a,0b1: Pull,0b1: Enabled,n/a,n/a,0b110: R0/6,n/a,0b10: LPDDR2,0b0: CMOS,0b000: Disabled,0b00: min delay,n/a
J2,MMDC,mmdc_cas_b,DRAM_CAS_B,,n/a,NVCC_DRAM (1.4V),Output,n/a,0b0: Disabled,n/a,0b1: Pull,0b1: Enabled,n/a,n/a,0b110: R0/6,n/a,0b10: LPDDR2,0b0: CMOS,0b000: Disabled,0b00: min delay,n/a
N2,MMDC,"mmdc_cs_b, 0",DRAM_CS0_B,,n/a,NVCC_DRAM (1.4V),Output,n/a,0b0: Disabled,n/a,0b1: Pull,0b1: Enabled,n/a,n/a,0b110: R0/6,n/a,0b10: LPDDR2,0b0: CMOS,0b000: Disabled,0b00: min delay,n/a
H5,MMDC,"mmdc_cs_b, 1",DRAM_CS1_B,,n/a,NVCC_DRAM (1.4V),Output,n/a,0b0: Disabled,n/a,0b1: Pull,0b1: Enabled,n/a,n/a,0b110: R0/6,n/a,0b10: LPDDR2,0b0: CMOS,0b000: Disabled,0b00: min delay,n/a
T4,MMDC,"mmdc_data, 0",DRAM_DATA00,,n/a,NVCC_DRAM (1.4V),Input/Output,n/a,0b0: Disabled,n/a,0b1: Pull,0b1: Enabled,n/a,n/a,0b110: R0/6,n/a,0b10: LPDDR2,0b0: CMOS,n/a,n/a,n/a
U6,MMDC,"mmdc_data, 1",DRAM_DATA01,,n/a,NVCC_DRAM (1.4V),Input/Output,n/a,0b0: Disabled,n/a,0b1: Pull,0b1: Enabled,n/a,n/a,0b110: R0/6,n/a,0b10: LPDDR2,0b0: CMOS,n/a,n/a,n/a
T6,MMDC,"mmdc_data, 2",DRAM_DATA02,,n/a,NVCC_DRAM (1.4V),Input/Output,n/a,0b0: Disabled,n/a,0b1: Pull,0b1: Enabled,n/a,n/a,0b110: R0/6,n/a,0b10: LPDDR2,0b0: CMOS,n/a,n/a,n/a
U7,MMDC,"mmdc_data, 3",DRAM_DATA03,,n/a,NVCC_DRAM (1.4V),Input/Output,n/a,0b0: Disabled,n/a,0b1: Pull,0b1: Enabled,n/a,n/a,0b110: R0/6,n/a,0b10: LPDDR2,0b0: CMOS,n/a,n/a,n/a
U8,MMDC,"mmdc_data, 4",DRAM_DATA04,,n/a,NVCC_DRAM (1.4V),Input/Output,n/a,0b0: Disabled,n/a,0b1: Pull,0b1: Enabled,n/a,n/a,0b110: R0/6,n/a,0b10: LPDDR2,0b0: CMOS,n/a,n/a,n/a
T8,MMDC,"mmdc_data, 5",DRAM_DATA05,,n/a,NVCC_DRAM (1.4V),Input/Output,n/a,0b0: Disabled,n/a,0b1: Pull,0b1: Enabled,n/a,n/a,0b110: R0/6,n/a,0b10: LPDDR2,0b0: CMOS,n/a,n/a,n/a
T5,MMDC,"mmdc_data, 6",DRAM_DATA06,,n/a,NVCC_DRAM (1.4V),Input/Output,n/a,0b0: Disabled,n/a,0b1: Pull,0b1: Enabled,n/a,n/a,0b110: R0/6,n/a,0b10: LPDDR2,0b0: CMOS,n/a,n/a,n/a
U4,MMDC,"mmdc_data, 7",DRAM_DATA07,,n/a,NVCC_DRAM (1.4V),Input/Output,n/a,0b0: Disabled,n/a,0b1: Pull,0b1: Enabled,n/a,n/a,0b110: R0/6,n/a,0b10: LPDDR2,0b0: CMOS,n/a,n/a,n/a
U2,MMDC,"mmdc_data, 8",DRAM_DATA08,,n/a,NVCC_DRAM (1.4V),Input/Output,n/a,0b0: Disabled,n/a,0b1: Pull,0b1: Enabled,n/a,n/a,0b110: R0/6,n/a,0b10: LPDDR2,0b0: CMOS,n/a,n/a,n/a
U3,MMDC,"mmdc_data, 9",DRAM_DATA09,,n/a,NVCC_DRAM (1.4V),Input/Output,n/a,0b0: Disabled,n/a,0b1: Pull,0b1: Enabled,n/a,n/a,0b110: R0/6,n/a,0b10: LPDDR2,0b0: CMOS,n/a,n/a,n/a
U5,MMDC,"mmdc_data, 10",DRAM_DATA10,,n/a,NVCC_DRAM (1.4V),Input/Output,n/a,0b0: Disabled,n/a,0b1: Pull,0b1: Enabled,n/a,n/a,0b110: R0/6,n/a,0b10: LPDDR2,0b0: CMOS,n/a,n/a,n/a
R4,MMDC,"mmdc_data, 11",DRAM_DATA11,,n/a,NVCC_DRAM (1.4V),Input/Output,n/a,0b0: Disabled,n/a,0b1: Pull,0b1: Enabled,n/a,n/a,0b110: R0/6,n/a,0b10: LPDDR2,0b0: CMOS,n/a,n/a,n/a
P5,MMDC,"mmdc_data, 12",DRAM_DATA12,,n/a,NVCC_DRAM (1.4V),Input/Output,n/a,0b0: Disabled,n/a,0b1: Pull,0b1: Enabled,n/a,n/a,0b110: R0/6,n/a,0b10: LPDDR2,0b0: CMOS,n/a,n/a,n/a
P3,MMDC,"mmdc_data, 13",DRAM_DATA13,,n/a,NVCC_DRAM (1.4V),Input/Output,n/a,0b0: Disabled,n/a,0b1: Pull,0b1: Enabled,n/a,n/a,0b110: R0/6,n/a,0b10: LPDDR2,0b0: CMOS,n/a,n/a,n/a
R2,MMDC,"mmdc_data, 14",DRAM_DATA14,,n/a,NVCC_DRAM (1.4V),Input/Output,n/a,0b0: Disabled,n/a,0b1: Pull,0b1: Enabled,n/a,n/a,0b110: R0/6,n/a,0b10: LPDDR2,0b0: CMOS,n/a,n/a,n/a
R1,MMDC,"mmdc_data, 15",DRAM_DATA15,,n/a,NVCC_DRAM (1.4V),Input/Output,n/a,0b0: Disabled,n/a,0b1: Pull,0b1: Enabled,n/a,n/a,0b110: R0/6,n/a,0b10: LPDDR2,0b0: CMOS,n/a,n/a,n/a
T7,MMDC,"mmdc_dqm, 0",DRAM_DQM0,,n/a,NVCC_DRAM (1.4V),Output,n/a,0b0: Disabled,n/a,0b1: Pull,0b1: Enabled,n/a,n/a,0b110: R0/6,n/a,0b10: LPDDR2,0b0: CMOS,0b000: Disabled,n/a,n/a
T3,MMDC,"mmdc_dqm, 1",DRAM_DQM1,,n/a,NVCC_DRAM (1.4V),Output,n/a,0b0: Disabled,n/a,0b1: Pull,0b1: Enabled,n/a,n/a,0b110: R0/6,n/a,0b10: LPDDR2,0b0: CMOS,0b000: Disabled,n/a,n/a
N1,MMDC,"mmdc_odt, 0",DRAM_ODT0,,n/a,NVCC_DRAM (1.4V),Output,n/a,0b0: Disabled,0b00: 100K Ohm Pull Down,0b1: Pull,0b1: Enabled,n/a,n/a,0b110: R0/6,n/a,0b10: LPDDR2,0b0: CMOS,0b000: Disabled,0b00: min delay,n/a
F1,MMDC,"mmdc_odt, 1",DRAM_ODT1,,n/a,NVCC_DRAM (1.4V),Output,n/a,0b0: Disabled,0b00: 100K Ohm Pull Down,0b1: Pull,0b1: Enabled,n/a,n/a,0b110: R0/6,n/a,0b10: LPDDR2,0b0: CMOS,0b000: Disabled,0b00: min delay,n/a
M5,MMDC,mmdc_ras_b,DRAM_RAS_B,,n/a,NVCC_DRAM (1.4V),Output,n/a,0b0: Disabled,n/a,0b1: Pull,0b1: Enabled,n/a,n/a,0b110: R0/6,n/a,0b10: LPDDR2,0b0: CMOS,0b000: Disabled,0b00: min delay,n/a
M1,MMDC,"mmdc_sdba, 0",DRAM_SDBA0,,n/a,NVCC_DRAM (1.4V),Output,n/a,0b0: Disabled,n/a,0b1: Pull,0b1: Enabled,n/a,n/a,0b110: R0/6,n/a,0b10: LPDDR2,0b0: CMOS,0b000: Disabled,0b00: min delay,n/a
H1,MMDC,"mmdc_sdba, 1",DRAM_SDBA1,,n/a,NVCC_DRAM (1.4V),Output,n/a,0b0: Disabled,n/a,0b1: Pull,0b1: Enabled,n/a,n/a,0b110: R0/6,n/a,0b10: LPDDR2,0b0: CMOS,0b000: Disabled,0b00: min delay,n/a
K2,MMDC,"mmdc_sdba, 2",DRAM_SDBA2,,n/a,NVCC_DRAM (1.4V),Output,n/a,0b0: Disabled,n/a,0b1: Pull,0b1: Enabled,n/a,n/a,0b110: R0/6,n/a,0b10: LPDDR2,0b0: CMOS,0b000: Disabled,0b00: min delay,n/a
M3,MMDC,"mmdc_sdcke, 0",DRAM_SDCKE0,,n/a,NVCC_DRAM (1.4V),Output,n/a,0b0: Disabled,0b00: 100K Ohm Pull Down,0b1: Pull,0b1: Enabled,n/a,n/a,0b110: R0/6,n/a,0b10: LPDDR2,0b0: CMOS,0b000: Disabled,0b00: min delay,n/a
J3,MMDC,"mmdc_sdcke, 1",DRAM_SDCKE1,,n/a,NVCC_DRAM (1.4V),Output,n/a,0b0: Disabled,0b00: 100K Ohm Pull Down,0b1: Pull,0b1: Enabled,n/a,n/a,0b110: R0/6,n/a,0b10: LPDDR2,0b0: CMOS,0b000: Disabled,0b00: min delay,n/a
G4,MMDC,mmdc_reset,DRAM_RESET,,n/a,NVCC_DRAM (1.4V),Output,n/a,0b0: Disabled,0b00: 100K Ohm Pull Down,0b1: Pull,0b1: Enabled,n/a,n/a,0b110: R0/6,n/a,0b10: LPDDR2,0b0: CMOS,0b000: Disabled,0b00: min delay,n/a
P2,MMDC,mmdc_sdclk0_n,DRAM_SDCLK0_N,,n/a,NVCC_DRAM (1.4V),Output,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
P1,MMDC,mmdc_sdclk0_p,DRAM_SDCLK0_P,,n/a,NVCC_DRAM (1.4V),Output,n/a,0b0: Disabled,n/a,0b1: Pull,0b1: Enabled,n/a,n/a,0b110: R0/6,n/a,0b10: LPDDR2,0b0: CMOS,0b000: Disabled,0b00: min delay,0b00: min delay
J1,MMDC,mmdc_sdwe_b,DRAM_SDWE_B,,n/a,NVCC_DRAM (1.4V),Output,n/a,0b0: Disabled,n/a,0b1: Pull,0b1: Enabled,n/a,n/a,0b110: R0/6,n/a,0b10: LPDDR2,0b0: CMOS,0b000: Disabled,0b00: min delay,n/a
P6,MMDC,"mmdc_sdqs_p, 0",DRAM_SDQS0_P,,n/a,NVCC_DRAM (1.4V),Input/Output,n/a,0b0: Disabled,0b00: 100K Ohm Pull Down,0b1: Pull,0b0: Disabled,n/a,n/a,0b110: R0/6,n/a,0b10: LPDDR2,0b0: CMOS,n/a,0b00: min delay,0b00: min delay
P7,MMDC,"mmdc_sdqs_n, 0",DRAM_SDQS0_N,,n/a,NVCC_DRAM (1.4V),Input/Output,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
T1,MMDC,"mmdc_sdqs_p, 1",DRAM_SDQS1_P,,n/a,NVCC_DRAM (1.4V),Input/Output,n/a,0b0: Disabled,0b00: 100K Ohm Pull Down,0b1: Pull,0b0: Disabled,n/a,n/a,0b110: R0/6,n/a,0b10: LPDDR2,0b0: CMOS,n/a,0b00: min delay,0b00: min delay
